utr_id,utr_rating,playerId,playerFamilyName,playerGivenName,playerNationalityCode,playerNationality,profileLink,hiddenPlayer,birthYear,rankMovement,rank,rankEqualFlag,tournamentsPlayed,points,profileImage,tournamentsPlayedSingles,tournamentsPlayedDoubles,pointsRankingSingles,pointsRankingDoubles,pointsRankingTotal,age,player_name
275443,13.57,800403714,Faucon ,Romain,BEL,Belgium,/en/players/romain-faucon-/800403714/bel/,False,2002,1,44,,30,694.25,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,18,Romain Faucon 
270769,12.98,800442351,Medjedovic,Hamad,SRB,Serbia,/en/players/hamad-medjedovic/800442351/srb/,False,2003,-5,45,,20,686.25,/remote.axd/media.itftennis.com/asset-bank/servlet/display?file=22137999cb220848947bff08.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132150864810000000,,,,,,17,Hamad Medjedovic
275541,13.12,800428605,Den Ouden,Guy,NED,Netherlands,/en/players/guy-den-ouden/800428605/ned/,False,2002,0,46,,32,684.25,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,18,Guy Den Ouden
1973124,13.35,800418135,Neumayer,Lukas,AUT,Austria,/en/players/lukas-neumayer/800418135/aut/,False,2002,0,47,,38,677.5,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,18,Lukas Neumayer
139842,12.60,800412197,Sharipov,Marat,RUS,Russia,/en/players/marat-sharipov/800412197/rus/,False,2002,0,48,,34,676.25,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,18,Marat Sharipov
1028644,13.15,800455893,Hoogmartens,Alexander,BEL,Belgium,/en/players/alexander-hoogmartens/800455893/bel/,False,2002,0,49,,31,668.75,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,18,Alexander Hoogmartens
1695525,13.19,800443542,Moller,Elmer,DEN,Denmark,/en/players/elmer-moller/800443542/den/,False,2003,10,50,,24,659.75,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,17,Elmer Moller
2182312,13.54,800557907,Kuzuhara,Bruno,USA,USA,/en/players/bruno-kuzuhara/800557907/usa/,False,2004,0,51,,30,651.5,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,16,Bruno Kuzuhara
274831,13.74,800519972,Boscardin Dias,Pedro,BRA,Brazil,/en/players/pedro-boscardin-dias/800519972/bra/,False,2003,0,52,,18,650.0,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,17,Pedro Boscardin Dias
1608101,13.22,800400406,Gima,Sebastian,ROU,Romania,/en/players/sebastian-gima/800400406/rou/,False,2002,0,53,,34,640.0,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,18,Sebastian Gima
394563,13.22,800457764,Barreto Sanchez,Diego Augusto,ESP,Spain,/en/players/diego-augusto-barreto-sanchez/800457764/esp/,False,2002,14,54,,20,631.5,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,18,Diego Augusto Barreto Sanchez
286901,13.12,800432107,Mansilla Diez,Mario,ESP,Spain,/en/players/mario-mansilla-diez/800432107/esp/,False,2002,0,55,,27,627.75,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,18,Mario Mansilla Diez
265162,12.43,800449590,Nardi ,Luca,ITA,Italy,/en/players/luca-nardi-/800449590/ita/,False,2003,0,56,,27,626.25,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,17,Luca Nardi 
2088735,12.84,800512379,Mayo,Aidan,USA,USA,/en/players/aidan-mayo/800512379/usa/,False,2003,20,57,,27,614.25,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,17,Aidan Mayo
1711943,12.96,800526674,Bernard,Alexander,USA,USA,/en/players/alexander-bernard/800526674/usa/,False,2003,11,58,,30,613.5,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,17,Alexander Bernard
948872,3X6,800513598,Malgaroli,Leonardo,ITA,Italy,/en/players/leonardo-malgaroli/800513598/ita/,False,2002,-5,59,,30,610.75,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,18,Leonardo Malgaroli
1740261,13.15,800476827,Lu,Pengyu,CHN,"China, P.R.",/en/players/pengyu-lu/800476827/chn/,False,2002,-2,60,,30,607.75,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,18,Pengyu Lu
1740256,12.58,800521213,Claverie,Lorenzo,VEN,Venezuela,/en/players/lorenzo-claverie/800521213/ven/,False,2002,-2,61,,41,601.75,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,18,Lorenzo Claverie
572784,13.90,800512381,McKennon,Maxwell,USA,USA,/en/players/maxwell-mckennon/800512381/usa/,False,2002,-1,62,,31,591.0,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,18,Maxwell McKennon
1608104,13.21,800480055,De Alba Valdes,Rafael Alfonso,MEX,Mexico,/en/players/rafael-alfonso-de-alba-valdes/800480055/mex/,False,2002,-1,63,,43,586.75,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,18,Rafael Alfonso De Alba Valdes
274797,12.91,800425466,Wiskandt,Max,GER,Germany,/en/players/max-wiskandt/800425466/ger/,False,2002,-1,64,,40,583.75,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,18,Max Wiskandt
275023,13.12,800510236,Isomura,Kokoro,JPN,Japan,/en/players/kokoro-isomura/800510236/jpn/,False,2003,1,65,,36,579.75,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,17,Kokoro Isomura
240566,12.47,800418220,Gigante ,Matteo,ITA,Italy,/en/players/matteo-gigante-/800418220/ita/,False,2002,-2,66,,24,579.75,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,18,Matteo Gigante 
278784,13.61,800567492,Anthrop,Jack,USA,USA,/en/players/jack-anthrop/800567492/usa/,False,2003,21,67,,28,574.5,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,17,Jack Anthrop
274919,13.31,800427011,Garcian ,Axel,FRA,France,/en/players/axel-garcian-/800427011/fra/,False,2002,-1,68,,29,574.0,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,18,Axel Garcian 
404388,12.86,800459824,Westphal ,Max,FRA,France,/en/players/max-westphal-/800459824/fra/,False,2003,1,69,,32,573.0,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,17,Max Westphal 
274964,14.91,800451453,Javia,Dev,IND,India,/en/players/dev-javia/800451453/ind/,False,2002,19,70,,32,571.25,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,18,Dev Javia
1228851,13.03,800429616,Llamas Ruiz ,Pablo,ESP,Spain,/en/players/pablo-llamas-ruiz-/800429616/esp/,False,2002,-29,71,,18,570.0,/remote.axd/media.itftennis.com/asset-bank/servlet/display?file=22137999e12209589837ff08.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132150864180000000,,,,,,18,Pablo Llamas Ruiz 
274895,12.89,800485720,Gramaticopolo,Biagio,ITA,Italy,/en/players/biagio-gramaticopolo/800485720/ita/,False,2002,-1,72,,30,568.75,/media/1490/itf-uk-profile-placeholder-male.jpg?anchor=center&mode=crop&width=54&height=72&rnd=132174204480000000,,,,,,18,Biagio Gramaticopolo
