birth_year,last_name,first_name,player_country_code,player_name,utr_id,utr_rating
2001,Park,Minjong,KOR,Minjong Park,219361,13.87
2001,Chidekh,Clement,FRA,Clement Chidekh,2568361,13.44
2001,Strom,Gustaf,SWE,Gustaf Strom,2600324,13.61
2001,Chaurasia,Yash,IND,Yash Chaurasia,814263,10.86
2001,Molino,Javier,ESP,Javier Molino,299253,12.86
2001,Gola,Andrea,ITA,Andrea Gola,271287,12.67
2001,Weststrate,Lodewijk,NED,Lodewijk Weststrate,235464,13.13
2001,Popovic,Mihailo,SRB,Mihailo Popovic,263798,12.18
2001,Kalender,Admir,CRO,Admir Kalender,261221,12.91
2001,Pujol Navarro,Bruno,ESP,Bruno Pujol Navarro,273224,12.65
2001,Tacchi,Luciano,ARG,Luciano Tacchi,275318,13.53
2001,Vilicich,Bautista,ARG,Bautista Vilicich,947915,12.54
2001,Lopez Linquet,Leonardo,ARG,Leonardo Lopez Linquet,741799,13.00
2001,Ginat,Roi,ISR,Roi Ginat,202362,13.02
2001,Simon,Sahar,ISR,Sahar Simon,221152,12.83
2001,Obradovic,Dusan,SRB,Dusan Obradovic,274724,12.25
2001,Yamanaka,Taiyo,JPN,Taiyo Yamanaka,244408,12.96
2001,Maia,Hugo,POR,Hugo Maia,241441,12.21
2001,Sanchez Vinas,Pol,ESP,Pol Sanchez Vinas,452,3X6
2001,Diallo,Gabriel,CAN,Gabriel Diallo,215644,13.04
2001,Spasibo,Danil,RUS,Danil Spasibo,245344,12.13
2001,Hietaranta,Roni Mikael,FIN,Roni Mikael Hietaranta,No UTR id found,3X6
2001,Rollins,Pierce,USA,Pierce Rollins,85372,13.06
2001,Grant,William,USA,William Grant,85355,12.63
2001,Misolic,Filip,AUT,Filip Misolic,2559142,12.76
2001,Hernandez,Carles,ESP,Carles Hernandez,277743,12.73
2001,Sewanou,Arnaud,BEN,Arnaud Sewanou,244686,10.21
2001,Pourroy,Loris,FRA,Loris Pourroy,221180,13.06
2001,Malesevic,Nemanja,BIH,Nemanja Malesevic,263779,13.32
2001,Wassermann,Deney,NED,Deney Wassermann,270004,13.52
2001,Purtseladze,Saba,GEO,Saba Purtseladze,271458,11.95
2001,Ilkel,Berk,TUR,Berk Ilkel,1947419,12.28
2001,Lerby,Christian,NED,Christian Lerby,235466,12.89
2001,Makk,Peter,HUN,Peter Makk,1970973,13.54
2001,Furlanetto,Marco,ITA,Marco Furlanetto,224353,13.19
2001,Borsan,Doru Junior,ROU,Doru Junior Borsan,1954760,11.78
2001,Rodeia,Andre,POR,Andre Rodeia,242482,12.19
2001,Vukovic,Milos,SRB,Milos Vukovic,271642,11.73
2001,Allen,Leighton,USA,Leighton Allen,319318,12.30
2001,Cundom,Julian,ARG,Julian Cundom,657592,12.27
2001,Chahoud,Kevin,SWE,Kevin Chahoud,277422,12.59
2001,Gimenez,Julian,ARG,Julian Gimenez,2206786,11.80
2001,Murgett,Finn,GBR,Finn Murgett,1880661,12.74
2001,Nakashima,Brandon,USA,Brandon Nakashima,405461,14.81
2001,Lalami Laaroussi,Younes,MAR,Younes Lalami Laaroussi,No UTR id found,3X6
2001,Malgiaritta,Maurus,SUI,Maurus Malgiaritta,273163,12.42
2001,Wallin,Olle,SWE,Olle Wallin,277421,12.52
2001,Dale,Andrew,USA,Andrew Dale,300311,12.73
2001,Centeno Arteaga,Raul Gerardo,ECU,Raul Gerardo Centeno Arteaga,No UTR id found,3X6
2001,Bullard,Jacob,USA,Jacob Bullard,85457,12.98
2001,Labrador,Daniel,USA,Daniel Labrador,370558,12.30
2001,Sengul,Bora,TUR,Bora Sengul,246951,12.57
2001,Madan,Tushar,IND,Tushar Madan,695812,9.83
2001,Novikov,Egor,RUS,Egor Novikov,270771,13.16
2001,Gomar Monio,Luis,ESP,Luis Gomar Monio,275275,11.95
2001,Caldes,Jaime,ESP,Jaime Caldes,270049,12.89
2001,Marino,Pietro,ITA,Pietro Marino,245374,13.01
2001,Weightman,Oscar,GBR,Oscar Weightman,235412,12.93
2001,Subanovic,Nemanja,SRB,Nemanja Subanovic,272783,11.36
2001,Riedel,Tim,GER,Tim Riedel,402293,12.06
